archname,devname,freq_MHz,pipe,precision,wlgroup,wlname,wlinstance,batch,opnum,opname,is_input_node,is_output_node,optype,op_rpt_count,attrs,inList,outList,input_tensors,output_tensors,weight_tensors,domain,opclass,removed,fused,fused_with_op,inElems,outElems,inBytes,outBytes,instrs,inParamCount,inActCount,outActCount,instr_count,compute_cycles,mem_rd_cycles,mem_wr_cycles,ramp_penalty,rsrc_bnck,ideal_cycles,ideal_msecs,cycles,matrix_cycles,vector_cycles,msecs,matrix_pipe_util,vector_pipe_util,mem_rd_util,mem_wr_util,memory_traffic,mem_util,uses_perf_lookup,fidelity,
Wormhole,n150,1000,MATRIX,INT8,TTNN,Matmul2Tensors_1,sweep_32_to_4096_bf16,1,76,ttsim.ttnn.Op_77,TRUE,TRUE,MatMul,1,"{'compute_kernel_config': WormholeComputeKernelConfig(math_fidelity=<MathFidelity.HiFi2: 2>, math_approx_mode=False, dst_full_sync_en=False, fp32_dest_acc_en=False, packer_l1_acc=True), 'memory_config': <MemoryConfig.L1: 2>}","['ttsim.ttnn.Tensor_153', 'ttsim.ttnn.Tensor_154']",['ttsim.ttnn.Op_77.out'],ttsim.ttnn.Tensor_153[2464x2464]:float16;ttsim.ttnn.Tensor_154[2464x2464]:float16,ttsim.ttnn.Op_77.out[2464x2464]:float16,,,,FALSE,FALSE,,12142592,6071296,24285184,12142592,{'mac': 14959673344},0,12142592,6071296,14959673344,169087,105405,52703,50,COMP,1235200,1.2352,1544000,169087,0,1.544,0.6,0,0,0,0,0,TRUE,HiFi2,1544000
Wormhole,n150,1000,MATRIX,INT8,TTNN,Matmul2Tensors_1,sweep_32_to_4096_bf16,1,76,ttsim.ttnn.Op_77,TRUE,TRUE,MatMul,1,"{'compute_kernel_config': WormholeComputeKernelConfig(math_fidelity=<MathFidelity.HiFi4: 4>, math_approx_mode=False, dst_full_sync_en=False, fp32_dest_acc_en=False, packer_l1_acc=True), 'memory_config': <MemoryConfig.L1: 2>}","['ttsim.ttnn.Tensor_153', 'ttsim.ttnn.Tensor_154']",['ttsim.ttnn.Op_77.out'],ttsim.ttnn.Tensor_153[2464x2464]:float16;ttsim.ttnn.Tensor_154[2464x2464]:float16,ttsim.ttnn.Op_77.out[2464x2464]:float16,,,,FALSE,FALSE,,12142592,6071296,24285184,12142592,{'mac': 14959673344},0,12142592,6071296,14959673344,169087,105405,52703,50,COMP,1235200,1.2352,1544000,169087,0,1.544,0.6,0,0,0,0,0,TRUE,HiFi4,1544000
Wormhole,n150,1000,MATRIX,INT8,TTNN,Matmul2Tensors_1,sweep_32_to_4096_bf16,1,77,ttsim.ttnn.Op_78,TRUE,TRUE,MatMul,1,"{'compute_kernel_config': WormholeComputeKernelConfig(math_fidelity=<MathFidelity.LoFi: 1>, math_approx_mode=False, dst_full_sync_en=False, fp32_dest_acc_en=False, packer_l1_acc=True), 'memory_config': <MemoryConfig.L1: 2>}","['ttsim.ttnn.Tensor_155', 'ttsim.ttnn.Tensor_156']",['ttsim.ttnn.Op_78.out'],ttsim.ttnn.Tensor_155[2496x2496]:float16;ttsim.ttnn.Tensor_156[2496x2496]:float16,ttsim.ttnn.Op_78.out[2496x2496]:float16,,,,FALSE,FALSE,,12460032,6230016,24920064,12460032,{'mac': 15550119936},0,12460032,6230016,15550119936,175761,108160,54080,50,COMP,1251200,1.2512,1564000,175761,0,1.564,0.6,0,0,0,0,0,TRUE,LoFi,1564000
Wormhole,n150,1000,MATRIX,INT8,TTNN,Matmul2Tensors_1,sweep_32_to_4096_bf16,1,77,ttsim.ttnn.Op_78,TRUE,TRUE,MatMul,1,"{'compute_kernel_config': WormholeComputeKernelConfig(math_fidelity=<MathFidelity.HiFi2: 2>, math_approx_mode=False, dst_full_sync_en=False, fp32_dest_acc_en=False, packer_l1_acc=True), 'memory_config': <MemoryConfig.L1: 2>}","['ttsim.ttnn.Tensor_155', 'ttsim.ttnn.Tensor_156']",['ttsim.ttnn.Op_78.out'],ttsim.ttnn.Tensor_155[2496x2496]:float16;ttsim.ttnn.Tensor_156[2496x2496]:float16,ttsim.ttnn.Op_78.out[2496x2496]:float16,,,,FALSE,FALSE,,12460032,6230016,24920064,12460032,{'mac': 15550119936},0,12460032,6230016,15550119936,175761,108160,54080,50,COMP,1251200,1.2512,1564000,175761,0,1.564,0.6,0,0,0,0,0,TRUE,HiFi2,1564000
Wormhole,n150,1000,MATRIX,INT8,TTNN,Matmul2Tensors_1,sweep_32_to_4096_bf16,1,77,ttsim.ttnn.Op_78,TRUE,TRUE,MatMul,1,"{'compute_kernel_config': WormholeComputeKernelConfig(math_fidelity=<MathFidelity.HiFi4: 4>, math_approx_mode=False, dst_full_sync_en=False, fp32_dest_acc_en=False, packer_l1_acc=True), 'memory_config': <MemoryConfig.L1: 2>}","['ttsim.ttnn.Tensor_155', 'ttsim.ttnn.Tensor_156']",['ttsim.ttnn.Op_78.out'],ttsim.ttnn.Tensor_155[2496x2496]:float16;ttsim.ttnn.Tensor_156[2496x2496]:float16,ttsim.ttnn.Op_78.out[2496x2496]:float16,,,,FALSE,FALSE,,12460032,6230016,24920064,12460032,{'mac': 15550119936},0,12460032,6230016,15550119936,175761,108160,54080,50,COMP,1251200,1.2512,1564000,175761,0,1.564,0.6,0,0,0,0,0,TRUE,HiFi4,1564000
Wormhole,n150,1000,MATRIX,INT8,TTNN,Matmul2Tensors_1,sweep_32_to_4096_bf16,1,78,ttsim.ttnn.Op_79,TRUE,TRUE,MatMul,1,"{'compute_kernel_config': WormholeComputeKernelConfig(math_fidelity=<MathFidelity.LoFi: 1>, math_approx_mode=False, dst_full_sync_en=False, fp32_dest_acc_en=False, packer_l1_acc=True), 'memory_config': <MemoryConfig.L1: 2>}","['ttsim.ttnn.Tensor_157', 'ttsim.ttnn.Tensor_158']",['ttsim.ttnn.Op_79.out'],ttsim.ttnn.Tensor_157[2528x2528]:float16;ttsim.ttnn.Tensor_158[2528x2528]:float16,ttsim.ttnn.Op_79.out[2528x2528]:float16,,,,FALSE,FALSE,,12781568,6390784,25563136,12781568,{'mac': 16155901952},0,12781568,6390784,16155901952,182608,110952,55476,50,COMP,1267200,1.2672,1584000,182608,0,1.584,0.6,0,0,0,0,0,TRUE,LoFi,1584000
Wormhole,n150,1000,MATRIX,INT8,TTNN,Matmul2Tensors_1,sweep_32_to_4096_bf16,1,78,ttsim.ttnn.Op_79,TRUE,TRUE,MatMul,1,"{'compute_kernel_config': WormholeComputeKernelConfig(math_fidelity=<MathFidelity.HiFi2: 2>, math_approx_mode=False, dst_full_sync_en=False, fp32_dest_acc_en=False, packer_l1_acc=True), 'memory_config': <MemoryConfig.L1: 2>}","['ttsim.ttnn.Tensor_157', 'ttsim.ttnn.Tensor_158']",['ttsim.ttnn.Op_79.out'],ttsim.ttnn.Tensor_157[2528x2528]:float16;ttsim.ttnn.Tensor_158[2528x2528]:float16,ttsim.ttnn.Op_79.out[2528x2528]:float16,,,,FALSE,FALSE,,12781568,6390784,25563136,12781568,{'mac': 16155901952},0,12781568,6390784,16155901952,182608,110952,55476,50,COMP,1267200,1.2672,1584000,182608,0,1.584,0.6,0,0,0,0,0,TRUE,HiFi2,1584000
Wormhole,n150,1000,MATRIX,INT8,TTNN,Matmul2Tensors_1,sweep_32_to_4096_bf16,1,78,ttsim.ttnn.Op_79,TRUE,TRUE,MatMul,1,"{'compute_kernel_config': WormholeComputeKernelConfig(math_fidelity=<MathFidelity.HiFi4: 4>, math_approx_mode=False, dst_full_sync_en=False, fp32_dest_acc_en=False, packer_l1_acc=True), 'memory_config': <MemoryConfig.L1: 2>}","['ttsim.ttnn.Tensor_157', 'ttsim.ttnn.Tensor_158']",['ttsim.ttnn.Op_79.out'],ttsim.ttnn.Tensor_157[2528x2528]:float16;ttsim.ttnn.Tensor_158[2528x2528]:float16,ttsim.ttnn.Op_79.out[2528x2528]:float16,,,,FALSE,FALSE,,12781568,6390784,25563136,12781568,{'mac': 16155901952},0,12781568,6390784,16155901952,182608,110952,55476,50,COMP,1267200,1.2672,1584000,182608,0,1.584,0.6,0,0,0,0,0,TRUE,HiFi4,1584000
Wormhole,n150,1000,MATRIX,INT8,TTNN,Matmul2Tensors_1,sweep_32_to_4096_bf16,1,79,ttsim.ttnn.Op_80,TRUE,TRUE,MatMul,1,"{'compute_kernel_config': WormholeComputeKernelConfig(math_fidelity=<MathFidelity.LoFi: 1>, math_approx_mode=False, dst_full_sync_en=False, fp32_dest_acc_en=False, packer_l1_acc=True), 'memory_config': <MemoryConfig.L1: 2>}","['ttsim.ttnn.Tensor_159', 'ttsim.ttnn.Tensor_160']",['ttsim.ttnn.Op_80.out'],ttsim.ttnn.Tensor_159[2560x2560]:float16;ttsim.ttnn.Tensor_160[2560x2560]:float16,ttsim.ttnn.Op_80.out[2560x2560]:float16,,,,FALSE,FALSE,,13107200,6553600,26214400,13107200,{'mac': 16777216000},0,13107200,6553600,16777216000,189630,113778,56889,50,COMP,1283200,1.2832,1604000,189630,0,1.604,0.6,0,0,0,0,0,TRUE,LoFi,1604000
Wormhole,n150,1000,MATRIX,INT8,TTNN,Matmul2Tensors_1,sweep_32_to_4096_bf16,1,79,ttsim.ttnn.Op_80,TRUE,TRUE,MatMul,1,"{'compute_kernel_config': WormholeComputeKernelConfig(math_fidelity=<MathFidelity.HiFi2: 2>, math_approx_mode=False, dst_full_sync_en=False, fp32_dest_acc_en=False, packer_l1_acc=True), 'memory_config': <MemoryConfig.L1: 2>}","['ttsim.ttnn.Tensor_159', 'ttsim.ttnn.Tensor_160']",['ttsim.ttnn.Op_80.out'],ttsim.ttnn.Tensor_159[2560x2560]:float16;ttsim.ttnn.Tensor_160[2560x2560]:float16,ttsim.ttnn.Op_80.out[2560x2560]:float16,,,,FALSE,FALSE,,13107200,6553600,26214400,13107200,{'mac': 16777216000},0,13107200,6553600,16777216000,189630,113778,56889,50,COMP,1283200,1.2832,1604000,189630,0,1.604,0.6,0,0,0,0,0,TRUE,HiFi2,1604000
