archname,devname,freq_MHz,pipe,precision,wlgroup,wlname,wlinstance,batch,opnum,opname,is_input_node,is_output_node,optype,op_rpt_count,attrs,inList,outList,input_tensors,output_tensors,weight_tensors,domain,opclass,removed,fused,fused_with_op,inElems,outElems,inBytes,outBytes,instrs,inParamCount,inActCount,outActCount,instr_count,compute_cycles,mem_rd_cycles,mem_wr_cycles,ramp_penalty,rsrc_bnck,ideal_cycles,ideal_msecs,cycles,matrix_cycles,vector_cycles,msecs,matrix_pipe_util,vector_pipe_util,mem_rd_util,mem_wr_util,memory_traffic,mem_util,uses_perf_lookup,fidelity
Wormhole,n150,1000.0,MATRIX,INT8,TTNN,Matmul2Tensors_1,sweep_32_to_4096_bf16,1,108,ttsim.ttnn.Op_109,True,True,MatMul,1,"{'compute_kernel_config': WormholeComputeKernelConfig(math_fidelity=<MathFidelity.HiFi2: 2>, math_approx_mode=False, dst_full_sync_en=False, fp32_dest_acc_en=False, packer_l1_acc=True), 'memory_config': <MemoryConfig.L1: 2>}","['ttsim.ttnn.Tensor_217', 'ttsim.ttnn.Tensor_218']",['ttsim.ttnn.Op_109.out'],ttsim.ttnn.Tensor_217[3488x3488]:float16;ttsim.ttnn.Tensor_218[3488x3488]:float16,ttsim.ttnn.Op_109.out[3488x3488]:float16,,,,False,False,,24332288,12166144,48664576,24332288,{'mac': 42435510272},0,24332288,12166144,42435510272,479641,211218,105609,50.0,COMP,479691.0,0.479691,599614.0,479641,0,0.599614,0.5999374597397074,0.0,0.3522567652926571,0.1761283826463285,0.0,0.0,False,HiFi2
Wormhole,n150,1000.0,MATRIX,INT8,TTNN,Matmul2Tensors_1,sweep_32_to_4096_bf16,1,108,ttsim.ttnn.Op_109,True,True,MatMul,1,"{'compute_kernel_config': WormholeComputeKernelConfig(math_fidelity=<MathFidelity.HiFi4: 4>, math_approx_mode=False, dst_full_sync_en=False, fp32_dest_acc_en=False, packer_l1_acc=True), 'memory_config': <MemoryConfig.L1: 2>}","['ttsim.ttnn.Tensor_217', 'ttsim.ttnn.Tensor_218']",['ttsim.ttnn.Op_109.out'],ttsim.ttnn.Tensor_217[3488x3488]:float16;ttsim.ttnn.Tensor_218[3488x3488]:float16,ttsim.ttnn.Op_109.out[3488x3488]:float16,,,,False,False,,24332288,12166144,48664576,24332288,{'mac': 42435510272},0,24332288,12166144,42435510272,479641,211218,105609,50.0,COMP,479691.0,0.479691,599614.0,479641,0,0.599614,0.5999374597397074,0.0,0.3522567652926571,0.1761283826463285,0.0,0.0,False,HiFi4
Wormhole,n150,1000.0,MATRIX,INT8,TTNN,Matmul2Tensors_1,sweep_32_to_4096_bf16,1,109,ttsim.ttnn.Op_110,True,True,MatMul,1,"{'compute_kernel_config': WormholeComputeKernelConfig(math_fidelity=<MathFidelity.LoFi: 1>, math_approx_mode=False, dst_full_sync_en=False, fp32_dest_acc_en=False, packer_l1_acc=True), 'memory_config': <MemoryConfig.L1: 2>}","['ttsim.ttnn.Tensor_219', 'ttsim.ttnn.Tensor_220']",['ttsim.ttnn.Op_110.out'],ttsim.ttnn.Tensor_219[3520x3520]:float16;ttsim.ttnn.Tensor_220[3520x3520]:float16,ttsim.ttnn.Op_110.out[3520x3520]:float16,,,,False,False,,24780800,12390400,49561600,24780800,{'mac': 43614208000},0,24780800,12390400,43614208000,492963,215112,107556,50.0,COMP,493013.0,0.493013,616267.0,492963,0,0.616267,0.5999391496775947,0.0,0.349056921419922,0.174528460709961,0.0,0.0,False,LoFi
Wormhole,n150,1000.0,MATRIX,INT8,TTNN,Matmul2Tensors_1,sweep_32_to_4096_bf16,1,109,ttsim.ttnn.Op_110,True,True,MatMul,1,"{'compute_kernel_config': WormholeComputeKernelConfig(math_fidelity=<MathFidelity.HiFi2: 2>, math_approx_mode=False, dst_full_sync_en=False, fp32_dest_acc_en=False, packer_l1_acc=True), 'memory_config': <MemoryConfig.L1: 2>}","['ttsim.ttnn.Tensor_219', 'ttsim.ttnn.Tensor_220']",['ttsim.ttnn.Op_110.out'],ttsim.ttnn.Tensor_219[3520x3520]:float16;ttsim.ttnn.Tensor_220[3520x3520]:float16,ttsim.ttnn.Op_110.out[3520x3520]:float16,,,,False,False,,24780800,12390400,49561600,24780800,{'mac': 43614208000},0,24780800,12390400,43614208000,492963,215112,107556,50.0,COMP,493013.0,0.493013,616267.0,492963,0,0.616267,0.5999391496775947,0.0,0.349056921419922,0.174528460709961,0.0,0.0,False,HiFi2
Wormhole,n150,1000.0,MATRIX,INT8,TTNN,Matmul2Tensors_1,sweep_32_to_4096_bf16,1,109,ttsim.ttnn.Op_110,True,True,MatMul,1,"{'compute_kernel_config': WormholeComputeKernelConfig(math_fidelity=<MathFidelity.HiFi4: 4>, math_approx_mode=False, dst_full_sync_en=False, fp32_dest_acc_en=False, packer_l1_acc=True), 'memory_config': <MemoryConfig.L1: 2>}","['ttsim.ttnn.Tensor_219', 'ttsim.ttnn.Tensor_220']",['ttsim.ttnn.Op_110.out'],ttsim.ttnn.Tensor_219[3520x3520]:float16;ttsim.ttnn.Tensor_220[3520x3520]:float16,ttsim.ttnn.Op_110.out[3520x3520]:float16,,,,False,False,,24780800,12390400,49561600,24780800,{'mac': 43614208000},0,24780800,12390400,43614208000,492963,215112,107556,50.0,COMP,493013.0,0.493013,616267.0,492963,0,0.616267,0.5999391496775947,0.0,0.349056921419922,0.174528460709961,0.0,0.0,False,HiFi4
Wormhole,n150,1000.0,MATRIX,INT8,TTNN,Matmul2Tensors_1,sweep_32_to_4096_bf16,1,110,ttsim.ttnn.Op_111,True,True,MatMul,1,"{'compute_kernel_config': WormholeComputeKernelConfig(math_fidelity=<MathFidelity.LoFi: 1>, math_approx_mode=False, dst_full_sync_en=False, fp32_dest_acc_en=False, packer_l1_acc=True), 'memory_config': <MemoryConfig.L1: 2>}","['ttsim.ttnn.Tensor_221', 'ttsim.ttnn.Tensor_222']",['ttsim.ttnn.Op_111.out'],ttsim.ttnn.Tensor_221[3552x3552]:float16;ttsim.ttnn.Tensor_222[3552x3552]:float16,ttsim.ttnn.Op_111.out[3552x3552]:float16,,,,False,False,,25233408,12616704,50466816,25233408,{'mac': 44814532608},0,25233408,12616704,44814532608,506531,219040,109520,50.0,COMP,506581.0,0.5065810000000001,633227.0,506531,0,0.633227,0.5999407794607378,0.0,0.3459111178666393,0.1729555589333196,0.0,0.0,False,LoFi
Wormhole,n150,1000.0,MATRIX,INT8,TTNN,Matmul2Tensors_1,sweep_32_to_4096_bf16,1,110,ttsim.ttnn.Op_111,True,True,MatMul,1,"{'compute_kernel_config': WormholeComputeKernelConfig(math_fidelity=<MathFidelity.HiFi2: 2>, math_approx_mode=False, dst_full_sync_en=False, fp32_dest_acc_en=False, packer_l1_acc=True), 'memory_config': <MemoryConfig.L1: 2>}","['ttsim.ttnn.Tensor_221', 'ttsim.ttnn.Tensor_222']",['ttsim.ttnn.Op_111.out'],ttsim.ttnn.Tensor_221[3552x3552]:float16;ttsim.ttnn.Tensor_222[3552x3552]:float16,ttsim.ttnn.Op_111.out[3552x3552]:float16,,,,False,False,,25233408,12616704,50466816,25233408,{'mac': 44814532608},0,25233408,12616704,44814532608,506531,219040,109520,50.0,COMP,506581.0,0.5065810000000001,633227.0,506531,0,0.633227,0.5999407794607378,0.0,0.3459111178666393,0.1729555589333196,0.0,0.0,False,HiFi2
Wormhole,n150,1000.0,MATRIX,INT8,TTNN,Matmul2Tensors_1,sweep_32_to_4096_bf16,1,110,ttsim.ttnn.Op_111,True,True,MatMul,1,"{'compute_kernel_config': WormholeComputeKernelConfig(math_fidelity=<MathFidelity.HiFi4: 4>, math_approx_mode=False, dst_full_sync_en=False, fp32_dest_acc_en=False, packer_l1_acc=True), 'memory_config': <MemoryConfig.L1: 2>}","['ttsim.ttnn.Tensor_221', 'ttsim.ttnn.Tensor_222']",['ttsim.ttnn.Op_111.out'],ttsim.ttnn.Tensor_221[3552x3552]:float16;ttsim.ttnn.Tensor_222[3552x3552]:float16,ttsim.ttnn.Op_111.out[3552x3552]:float16,,,,False,False,,25233408,12616704,50466816,25233408,{'mac': 44814532608},0,25233408,12616704,44814532608,506531,219040,109520,50.0,COMP,506581.0,0.5065810000000001,633227.0,506531,0,0.633227,0.5999407794607378,0.0,0.3459111178666393,0.1729555589333196,0.0,0.0,False,HiFi4
Wormhole,n150,1000.0,MATRIX,INT8,TTNN,Matmul2Tensors_1,sweep_32_to_4096_bf16,1,111,ttsim.ttnn.Op_112,True,True,MatMul,1,"{'compute_kernel_config': WormholeComputeKernelConfig(math_fidelity=<MathFidelity.LoFi: 1>, math_approx_mode=False, dst_full_sync_en=False, fp32_dest_acc_en=False, packer_l1_acc=True), 'memory_config': <MemoryConfig.L1: 2>}","['ttsim.ttnn.Tensor_223', 'ttsim.ttnn.Tensor_224']",['ttsim.ttnn.Op_112.out'],ttsim.ttnn.Tensor_223[3584x3584]:float16;ttsim.ttnn.Tensor_224[3584x3584]:float16,ttsim.ttnn.Op_112.out[3584x3584]:float16,,,,False,False,,25690112,12845056,51380224,25690112,{'mac': 46036680704},0,25690112,12845056,46036680704,520344,223005,111503,50.0,COMP,520394.0,0.520394,650493.0,520344,0,0.6504930000000001,0.5999423513722295,0.0,0.3428248596255914,0.1714131984611659,0.0,0.0,False,LoFi
Wormhole,n150,1000.0,MATRIX,INT8,TTNN,Matmul2Tensors_1,sweep_32_to_4096_bf16,1,111,ttsim.ttnn.Op_112,True,True,MatMul,1,"{'compute_kernel_config': WormholeComputeKernelConfig(math_fidelity=<MathFidelity.HiFi2: 2>, math_approx_mode=False, dst_full_sync_en=False, fp32_dest_acc_en=False, packer_l1_acc=True), 'memory_config': <MemoryConfig.L1: 2>}","['ttsim.ttnn.Tensor_223', 'ttsim.ttnn.Tensor_224']",['ttsim.ttnn.Op_112.out'],ttsim.ttnn.Tensor_223[3584x3584]:float16;ttsim.ttnn.Tensor_224[3584x3584]:float16,ttsim.ttnn.Op_112.out[3584x3584]:float16,,,,False,False,,25690112,12845056,51380224,25690112,{'mac': 46036680704},0,25690112,12845056,46036680704,520344,223005,111503,50.0,COMP,520394.0,0.520394,650493.0,520344,0,0.6504930000000001,0.5999423513722295,0.0,0.3428248596255914,0.1714131984611659,0.0,0.0,False,HiFi2
